Plate Name List,Batch,Target1 vs Target2,Percent Replicating
"['BR00117010', 'BR00117011', 'BR00117012', 'BR00117013']",CP-JUMP1,Target1,79.41176470588235
"['BR00121434', 'BR00121435', 'BR00121440']",Target2,Target2,80.06535947712419
