Plate Name,Stains - Permeabilization with dyes,Density,Percent Replicating,Percent Matching
BR00113821,No,Lower,0.5222222222222223,0.18604651162790697
BR00113820,Yes,Lower,0.5888888888888889,0.23255813953488372
BR00113818,No,Higher,0.6,0.20930232558139536
BR00113819,Yes,Higher,0.6333333333333333,0.18604651162790697
