Plate Name,Dye,Dye [concentration],Batch,Percent Replicating,Percent Matching
BR00116628,ER & Actin,ConcanavalinA [50 µg/mL] & Phalloidin [8.25 nM]+,Stain4,0.5888888888888889,0.18604651162790697
BR00116632,Actin,Phalloidin [16.5 nM],Stain4,0.6111111111111112,0.20930232558139536
BR00116633,Actin,Phalloidin [16.5 nM],Stain4,0.5777777777777777,0.23255813953488372
BR00116634,Actin,Phalloidin [16.5 nM],Stain4,0.5666666666666667,0.20930232558139536
BR00116629,Actin,Phalloidin [8.25 nM]+,Stain4,0.6222222222222222,0.23255813953488372
BR00116630,Actin,Phalloidin [8.25 nM]+,Stain4,0.6333333333333333,0.23255813953488372
BR00116631,Actin,Phalloidin [8.25 nM]+,Stain4,0.6222222222222222,0.20930232558139536
BR00115134,Actin & Golgi-Plasma Membrane,Phalloidin [16.5 nM] & Wheat Germ Agglutinin [1.5 µg/mL]*+,Stain3,0.5555555555555556,0.20930232558139536
BR00115130,Actin & Golgi-Plasma Membrane,Phalloidin [8.25 nM]+ & Wheat Germ Agglutinin [0.75 µg/mL],Stain3,0.3333333333333333,0.20930232558139536
BR00115128,Actin & Golgi-Plasma Membrane,Phalloidin [4.125 nM]+ & Wheat Germ Agglutinin [0.375 µg/mL],Stain3,0.5777777777777777,0.20930232558139536
