Plate Name List,Polybrene effect on compounds and matching,Percent Replicating
"['BR00121434', 'BR00121435', 'BR00121440']",Target2,0.8006535947712419
"['BR00121431', 'BR00121432', 'BR00121433']",Target2 + Polybrene,0.673202614379085
