70,71,72,73,74,75,76,77,70_featnum,71_featnum,72_featnum,73_featnum,74_featnum,75_featnum,76_featnum,77_featnum,Mean,Median,Standard deviation,Dropout,n_columns
0.5888888888888889,0.5777777777777777,0.5444444444444444,0.5444444444444444,0.5111111111111111,0.5444444444444444,0.5111111111111111,0.5333333333333333,460.0,467.0,480.0,468.0,481.0,471.0,474.0,485.0,0.5444444444444444,0.5444444444444444,0.026057865332352395,CONTROL,5804.0
0.5555555555555556,0.5888888888888889,0.5333333333333333,0.5555555555555556,0.5333333333333333,0.5444444444444444,0.5222222222222223,0.5666666666666667,393.0,392.0,404.0,397.0,416.0,400.0,409.0,417.0,0.55,0.55,0.020030840419244387,Cells,3864.0
0.5777777777777777,0.5777777777777777,0.5444444444444444,0.5666666666666667,0.5222222222222223,0.5444444444444444,0.5333333333333333,0.5555555555555556,393.0,402.0,408.0,399.0,415.0,400.0,407.0,414.0,0.5527777777777778,0.55,0.019043485001113993,AreaShape,5642.0
0.6,0.5777777777777777,0.5444444444444444,0.5444444444444444,0.5111111111111111,0.5444444444444444,0.5111111111111111,0.5333333333333333,459.0,466.0,479.0,466.0,480.0,469.0,473.0,484.0,0.5458333333333333,0.5444444444444444,0.02856522750167102,X,5744.0
0.5888888888888889,0.5666666666666667,0.5555555555555556,0.5444444444444444,0.5222222222222223,0.5444444444444444,0.5111111111111111,0.5444444444444444,458.0,466.0,479.0,466.0,479.0,470.0,473.0,484.0,0.5472222222222222,0.5444444444444444,0.022737091032979037,Y,5744.0
0.5888888888888889,0.5777777777777777,0.5333333333333333,0.5666666666666667,0.5222222222222223,0.5444444444444444,0.5222222222222223,0.5444444444444444,404.0,410.0,420.0,409.0,426.0,415.0,418.0,426.0,0.55,0.5444444444444444,0.023570226039551573,Zernike,5714.0
0.5888888888888889,0.5888888888888889,0.5666666666666667,0.5666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5222222222222223,387.0,393.0,405.0,390.0,400.0,402.0,395.0,405.0,0.5541666666666667,0.55,0.02511547405559045,1,3502.0
0.5777777777777777,0.6,0.6,0.5444444444444444,0.5222222222222223,0.5222222222222223,0.5333333333333333,0.5444444444444444,358.0,374.0,382.0,375.0,374.0,373.0,371.0,376.0,0.5555555555555556,0.5444444444444444,0.03042903097250921,2,1925.0
0.5888888888888889,0.5888888888888889,0.5555555555555556,0.5444444444444444,0.5444444444444444,0.5333333333333333,0.5111111111111111,0.5666666666666667,405.0,408.0,420.0,416.0,408.0,412.0,419.0,422.0,0.5541666666666667,0.55,0.02511547405559047,3,3797.0
0.5888888888888889,0.5666666666666667,0.5444444444444444,0.5444444444444444,0.5111111111111111,0.5333333333333333,0.5,0.5222222222222223,402.0,409.0,412.0,405.0,409.0,404.0,403.0,412.0,0.5388888888888889,0.5388888888888889,0.027216552697590872,4,5453.0
0.5777777777777777,0.5888888888888889,0.5888888888888889,0.5444444444444444,0.5222222222222223,0.5111111111111111,0.5333333333333333,0.5111111111111111,376.0,387.0,395.0,386.0,394.0,394.0,392.0,397.0,0.5472222222222222,0.5388888888888889,0.031303965748846245,5,1990.0
0.6,0.6,0.5888888888888889,0.5666666666666667,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.5333333333333333,371.0,383.0,388.0,382.0,391.0,391.0,389.0,394.0,0.5569444444444445,0.55,0.033535267965693415,6,1997.0
0.6,0.5666666666666667,0.5555555555555556,0.5333333333333333,0.5111111111111111,0.5444444444444444,0.5111111111111111,0.5222222222222223,454.0,461.0,472.0,462.0,476.0,464.0,468.0,480.0,0.5430555555555555,0.5388888888888889,0.02856522750167102,7,5765.0
0.5888888888888889,0.5777777777777777,0.5444444444444444,0.5666666666666667,0.5222222222222223,0.5444444444444444,0.5111111111111111,0.5333333333333333,447.0,453.0,466.0,454.0,469.0,458.0,461.0,473.0,0.548611111111111,0.5444444444444444,0.02542084058017101,8,5765.0
0.6,0.5888888888888889,0.5666666666666667,0.5444444444444444,0.5222222222222223,0.5444444444444444,0.5111111111111111,0.5444444444444444,449.0,455.0,469.0,455.0,471.0,460.0,463.0,475.0,0.5527777777777777,0.5444444444444444,0.02873355675774612,9,5765.0
0.6,0.5555555555555556,0.5444444444444444,0.5444444444444444,0.5,0.5222222222222223,0.5,0.5333333333333333,366.0,377.0,382.0,369.0,382.0,381.0,380.0,386.0,0.5375,0.5388888888888889,0.030397317539221227,Cytoplasm,3879.0
0.5888888888888889,0.6222222222222222,0.5888888888888889,0.5444444444444444,0.5222222222222223,0.5111111111111111,0.5,0.5111111111111111,249.0,262.0,270.0,262.0,279.0,270.0,274.0,275.0,0.5486111111111112,0.5333333333333333,0.04265042370217803,Correlation,4844.0
0.5888888888888889,0.5777777777777777,0.5444444444444444,0.5444444444444444,0.5111111111111111,0.5333333333333333,0.5111111111111111,0.5444444444444444,400.0,402.0,413.0,398.0,426.0,416.0,420.0,423.0,0.5444444444444444,0.5444444444444444,0.026057865332352395,AGP,5021.0
0.5777777777777777,0.5555555555555556,0.5444444444444444,0.5333333333333333,0.5,0.5333333333333333,0.5111111111111111,0.5222222222222223,413.0,422.0,434.0,425.0,437.0,426.0,427.0,437.0,0.5347222222222222,0.5333333333333333,0.023199018178458417,BFHigh,5021.0
0.6111111111111112,0.6111111111111112,0.5777777777777777,0.5555555555555556,0.5333333333333333,0.5333333333333333,0.5222222222222223,0.5444444444444444,405.0,418.0,433.0,421.0,428.0,417.0,423.0,433.0,0.5611111111111111,0.55,0.03286710990610899,BFLow,5021.0
